id,phrase,feature_1,feature_2,feature_3,sentiment
37,"They 're just a couple of cops in Copmovieland , these two , but in Narc , they find new routes through a familiar neighborhood .",26.0,,5.0,2
38,The same should go for movie theaters .,8.0,1.0,1.0,1
39,Caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,22.0,1.0,1.0,2
40,"In its chicken heart , Crush goes to absurd lengths to duck the very issues it raises .",18.0,2.0,2.0,0
41,"Expanded to 65 minutes for theatrical release , it still feels somewhat unfinished .",14.0,1.0,2.0,1
42,"Insomnia is one of the year 's best films and Pacino gives one of his most daring , and complicated , performances .",23.0,2.0,4.0,2
43,A bad movie that happened to good actors .,,1.0,1.0,0
44,"An intelligent and deeply felt work about impossible , irrevocable choices and the price of making them .",18.0,1.0,2.0,2
45,This version of H.G. Wells ' Time Machine was directed by H.G. Wells ' great-grandson .,,7.0,,1
46,and mawkish dialogue,3.0,0.0,0.0,0
47,"If you do n't laugh , flee .",8.0,1.0,3.0,1
48,I was impressed by how many tit-for-tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an American-Russian Armageddon .,,3.0,4.0,2
49,They do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film .,25.0,,1.0,1
50,Those seeking a definitive account of Eisenstein 's life would do better elsewhere .,14.0,2.0,2.0,0
51,Bella is the picture of health with boundless energy until a few days before she dies .,17.0,1.0,1.0,1
52,You could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .,20.0,1.0,3.0,0
53,"As a remake , it 's a pale imitation .",10.0,1.0,3.0,0
54,Koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,,,3.0,0
55,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .,24.0,3.0,2.0,0
56,A movie that 's about as overbearing and over-the-top as the family it depicts .,15.0,1.0,4.0,0
57,A heartening tale of small victories and enduring hope .,10.0,1.0,,2
58,Wonderful fencing scenes and an exciting plot make this an eminently engrossing film .,14.0,1.0,1.0,2
59,"May take its sweet time to get wherever it 's going , but if you have the patience for it , you wo n't feel like it 's wasted yours .",31.0,1.0,6.0,2
60,Smith finds amusing juxtapositions that justify his exercise .,9.0,1.0,1.0,2
61,"I have returned from the beyond to warn you : this movie is 90 minutes long , and life is too short .",23.0,1.0,3.0,0
62,Sa da TAY !,4.0,2.0,,1
63,"`` Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .",27.0,3.0,7.0,2
64,The big ending surprise almost saves the movie .,9.0,1.0,1.0,2
65,"Narratively , Trouble Every Day is a plodding mess .",10.0,4.0,2.0,0
66,A fan film that for the uninitiated plays better on video with the sound turned down .,17.0,1.0,1.0,0
67,"Works because we 're never sure if Ohlinger 's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",30.0,,4.0,1
68,It 's the brilliant surfing photography bringing you right inside the massive waves that lifts Blue Crush into one of the summer 's most pleasurable movies .,27.0,3.0,3.0,2
69,"It 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied .",21.0,1.0,,0
70,`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .,24.0,2.0,5.0,0
71,"Watching the chemistry between Freeman and Judd , however , almost makes this movie worth seeing .",17.0,3.0,3.0,2
72,"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",30.0,,2.0,1
73,The material and the production itself are little more than routine .,,1.0,,0
74,"If you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular .",23.0,1.0,4.0,2
75,One of those exceedingly rare films in which the talk alone is enough to keep us involved .,18.0,1.0,1.0,2
76,Time Out is as serious as a pink slip .,10.0,,1.0,0
77,A pure participatory event that malnourished intellectuals will gulp down in a frenzy .,14.0,1.0,1.0,1
78,"Filmmaker Stacy Peralta has a flashy editing style that does n't always jell with Sean Penn 's monotone narration , but he respects the material without sentimentalizing it .",29.0,,4.0,2
79,"Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .",,1.0,5.0,2
80,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,21.0,3.0,1.0,2
81,"Certainly not a good movie , but it was n't horrible either .",,1.0,,0
82,Ya-Yas everywhere will forgive the flaws and love the film .,11.0,1.0,2.0,2
83,"When it 's this rich and luscious , who cares ?",11.0,1.0,3.0,2
84,"None of this is very original , and it is n't particularly funny .",,1.0,3.0,0
85,It 's not a great monster movie .,8.0,1.0,2.0,0
86,Melodrama with a message .,5.0,1.0,1.0,1
87,An intriguing near-miss .,4.0,1.0,2.0,1
88,"Sayles has a knack for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors .",25.0,1.0,5.0,2
89,"Saddled with an unwieldy cast of characters and angles , but the payoff is powerful and revelatory .",,1.0,,2
90,Possibly the most irresponsible picture ever released by a major film studio .,13.0,,1.0,0
91,Get out your pooper-scoopers .,5.0,1.0,2.0,0
92,"Fans of critics ' darling band Wilco will marvel at the sometimes murky , always brooding look of I Am Trying to Break Your Heart .",26.0,8.0,,2
93,The plot plummets into a comedy graveyard before Janice comes racing to the rescue in the final reel .,19.0,2.0,1.0,1
94,Hashiguchi uses the situation to evoke a Japan bustling atop an undercurrent of loneliness and isolation .,17.0,2.0,1.0,2
95,The entire film is one big excuse to play one lewd scene after another .,15.0,,1.0,0
96,"... a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school .",,4.0,7.0,0
97,"The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .",20.0,1.0,4.0,2
98,Well-meant but unoriginal .,4.0,1.0,2.0,0
99,... a series of tales told with the intricate preciseness of the best short story writing .,17.0,0.0,4.0,2
100,"Godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks .",25.0,1.0,9.0,0
101,"It 's got all the familiar Bruckheimer elements , and Schumacher does probably as good a job as anyone at bringing off the Hopkins\/Rock collision of acting styles and onscreen personas .",32.0,4.0,5.0,2
102,"Too campy to work as straight drama and too violent and sordid to function as comedy , Vulgar is , truly and thankfully , a one-of-a-kind work .",28.0,2.0,7.0,0
103,"I would be shocked if there was actually one correct interpretation , but that should n't make the movie or the discussion any less enjoyable .",26.0,1.0,3.0,1
104,"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",21.0,3.0,,2
105,Certainly the big finish was n't something Galinsky and Hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .,,,5.0,2
106,The camera twirls !,4.0,1.0,,1
107,"Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him .",20.0,3.0,4.0,0
108,-LRB- A -RRB- painfully flat gross-out comedy ...,8.0,,8.0,0
109,Gaping plot holes sink this ` sub ' - standard thriller and drag audience enthusiasm to crush depth .,19.0,1.0,4.0,0
110,The movie 's seams may show ... but Pellington gives `` Mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling .,,,9.0,2
111,Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,27.0,4.0,4.0,0
112,An enjoyable above average summer diversion .,7.0,1.0,1.0,2
113,"Though Harris is affecting at times , he can not overcome the sense that Pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",29.0,3.0,2.0,0
114,"are both superb , while Huppert ... is magnificent .",,1.0,5.0,2
115,"A distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze .",24.0,1.0,,0
116,"A beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .",19.0,1.0,6.0,2
117,The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,,1.0,2.0,1
118,"Unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",23.0,1.0,,2
119,"Great performances , stylish cinematography and a gritty feel help make Gangster No. 1 a worthwhile moviegoing experience .",19.0,3.0,3.0,2
120,That the e-graveyard holds as many good ideas as bad is the cold comfort that Chin 's film serves up with style and empathy .,25.0,,3.0,2
121,"Boasting some of the most poorly staged and lit action in memory , Impostor is as close as you can get to an imitation movie .",26.0,2.0,2.0,0
122,Director David Jacobson gives Dahmer a consideration that the murderer never game his victims .,15.0,4.0,1.0,1
123,A diverse and astonishingly articulate cast of Palestinian and Israeli children .,12.0,3.0,1.0,2
124,It finds its moviegoing pleasures in the tiny events that could make a person who has lived her life half-asleep suddenly wake up and take notice .,27.0,1.0,2.0,2
125,The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .,21.0,2.0,,0
126,The respective charms of Sandra Bullock and Hugh Grant have worn threadbare .,13.0,5.0,1.0,1
127,See it .,3.0,1.0,1.0,2
128,"For all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian .",42.0,8.0,9.0,0
129,Reign of Fire just might go down as one of the all-time great apocalypse movies .,16.0,2.0,2.0,2
130,"Worthless , from its pseudo-rock-video opening to the idiocy of its last frames .",14.0,,4.0,0
131,"Once folks started hanging out at the barbershop , they never wanted to leave .",15.0,1.0,2.0,2
132,It looks much more like a cartoon in the end than The Simpsons ever has .,16.0,3.0,1.0,1
133,"It 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",23.0,1.0,4.0,2
134,"For the most part , it works beautifully as a movie without sacrificing the integrity of the opera .",19.0,1.0,,2
135,The densest distillation of Roberts ' movies ever made .,10.0,2.0,2.0,0
136,Overall tomfoolery like this is a matter of taste .,,1.0,1.0,0
137,An old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .,15.0,1.0,2.0,2
138,"Sweet gentle Jesus , did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?",19.0,2.0,5.0,0
139,"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",21.0,,3.0,2
140,The film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises .,20.0,1.0,2.0,0
141,Just is n't as weird as it ought to be .,,1.0,,0
142,"While the production details are lavish , film has little insight into the historical period and its artists , particularly in how Sand developed a notorious reputation .",28.0,2.0,3.0,0
143,Matthew Lillard is born to play Shaggy !,8.0,3.0,1.0,2
144,"likeable thanks to its cast , its cuisine and its quirky tunes .",,0.0,2.0,2
145,More good than great but Freeman and Judd make it work .,12.0,,1.0,2
146,Slackers ' jokey approach to college education is disappointingly simplistic -- the film 's biggest problem -- and there are no unforgettably stupid stunts or uproariously rude lines of dialogue to remember it by .,35.0,1.0,,1
147,Munch 's screenplay is tenderly observant of his characters .,,1.0,,2
148,"Your nightmares , on the other hand , will be anything but .",13.0,1.0,3.0,1
149,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza .,17.0,3.0,1.0,2
150,"If there was ever a movie where the upbeat ending feels like a copout , this is the one .",,1.0,,0
151,Smart and taut .,4.0,1.0,,2
152,A flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds .,,,1.0,1
153,Toward the end Sum of All Fears morphs into a mundane '70s disaster flick .,15.0,4.0,2.0,0
154,Goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,17.0,1.0,1.0,1
155,"This Bond film goes off the beaten path , not necessarily for the better .",15.0,2.0,2.0,0
156,The worst film of the year .,7.0,1.0,1.0,0
157,"In fact , it 's quite fun in places .",10.0,1.0,,2
158,"The Sum of All Fears is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots -LRB- or cinema seats -RRB- .",33.0,4.0,6.0,0
159,A charmer from Belgium .,5.0,2.0,1.0,2
160,A moving and not infrequently breathtaking film .,8.0,1.0,1.0,2
161,Rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .,21.0,1.0,4.0,1
162,Viewers will need all the luck they can muster just figuring out who 's who in this pretentious mess .,20.0,1.0,,0
163,You 'll feel like you ate a Reeses without the peanut butter ... ',14.0,2.0,5.0,0
164,"Dark and disturbing , yet compelling to watch .",9.0,1.0,2.0,1
165,"What remains is a variant of the nincompoop Benigni persona , here a more annoying , though less angry version of the irresponsible Sandlerian manchild , undercut by the voice of the star of Road Trip .",37.0,,4.0,0
166,Leigh makes these lives count .,6.0,1.0,1.0,2
167,"Rollerball IS as bad as you think , and worse than you can imagine .",15.0,2.0,2.0,0
168,You 'll end up moved .,6.0,1.0,2.0,2
169,"The Emperor 's Club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .",,,7.0,2
170,They can and will turn on a dime from oddly humorous to tediously sentimental .,15.0,1.0,1.0,2
171,You 'll cry for your money back .,8.0,1.0,2.0,0
172,It 's bedeviled by labored writing and slack direction .,,1.0,2.0,0
173,Millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .,24.0,,1.0,0
174,"You would n't want to live waydowntown , but it is a hilarious place to visit .",17.0,,3.0,2
175,Pumpkin struts about with `` courage '' pinned to its huckster lapel while a yellow streak a mile wide decorates its back .,23.0,,5.0,1
176,Has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .,19.0,,1.0,0
177,"If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .",25.0,,9.0,2
178,"It may sound like a mere disease-of - the-week TV movie , but A Song For Martin is made infinitely more wrenching by the performances of real-life spouses Seldahl and Wollter .",32.0,,6.0,1
179,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",,1.0,5.0,1
180,"It does n't make for great cinema , but it is interesting to see where one 's imagination will lead when given the opportunity .",25.0,,4.0,0
181,Witty dialog between realistic characters showing honest emotions .,9.0,1.0,1.0,2
182,"I admire it and yet can not recommend it , because it overstays its natural running time .",,1.0,2.0,0
183,Their computer-animated faces are very expressive .,7.0,1.0,2.0,2
184,Too bad .,,,,0
185,"The holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .",22.0,1.0,5.0,0
186,It will break your heart many times over .,9.0,1.0,1.0,1
187,Worth a salute just for trying to be more complex than your average film .,,,1.0,2
188,"It 's a thin notion , repetitively stretched out to feature length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue .",29.0,1.0,7.0,0
189,The best way to describe it is as a cross between Paul Thomas Anderson 's Magnolia and David Lynch 's Mulholland Dr.,22.0,9.0,3.0,1
190,"This is rote spookiness , with nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight , and the whole of the proceedings beg the question ` Why ? '",,2.0,,0
191,Ca n't get enough of libidinous young city dwellers ?,,1.0,2.0,1
192,It made me want to get made-up and go see this movie with my sisters .,,1.0,2.0,2
193,A plodding teen remake that 's so mechanical you can smell the grease on the plot twists .,18.0,1.0,2.0,0
194,"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",25.0,1.0,2.0,0
195,There 's nothing to gain from watching They .,9.0,2.0,2.0,0
196,The film is bright and flashy in all the right ways .,12.0,1.0,,2
197,The beauty of the piece is that it counts heart as important as humor .,15.0,,1.0,2
198,"In other words , it 's just another sports drama\/character study .",12.0,1.0,5.0,0
199,Adam SANDLER !,3.0,2.0,1.0,1
200,Every note rings false .,5.0,1.0,1.0,0
201,"If the movie were all comedy , it might work better .",,1.0,2.0,1
202,"... while the humor aspects of ` Jason X ' were far more entertaining than I had expected , everything else about the film tanks .",26.0,3.0,7.0,0
203,"Maybe not a classic , but a movie the kids will want to see over and over again .",19.0,1.0,,2
204,The makers of Mothman Prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad .,31.0,3.0,3.0,0
205,even after 90 minutes of playing opposite each other Bullock and Grant still look ill at ease sharing the same scene .,22.0,,1.0,0
206,"Not quite as miraculous as its DreamWorks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions .",26.0,2.0,,2
207,Do we really need another film that praises female self-sacrifice ?,11.0,,2.0,0
208,"Flashy gadgets and whirling fight sequences may look cool , but they ca n't distract from the flawed support structure holding Equilibrium up .",,2.0,3.0,0
209,"Given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .",27.0,,2.0,0
210,Coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,26.0,,3.0,0
211,"There are cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels .",,,3.0,0
212,Many a parent and their teen -LRB- or preteen -RRB- kid could bond while watching A Walk To Remember .,20.0,5.0,,2
213,"I liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .",27.0,1.0,5.0,0
214,"... a bland , pretentious mess .",7.0,0.0,5.0,0
215,Sweet and memorable film .,5.0,1.0,1.0,2
216,"What ` Dumb and Dumber ' would have been without the vulgarity and with an intelligent , life-affirming script .",20.0,3.0,,1
217,Solondz creates some effective moments of discomfort for character and viewer alike .,13.0,,1.0,1
218,You live the mood rather than savour the story .,10.0,1.0,1.0,2
219,"There is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",40.0,1.0,4.0,2
220,... a thoughtful what-if for the heart as well as the mind .,13.0,,5.0,2
221,It 's all pretty tame .,6.0,1.0,2.0,1
222,"Yo , it 's The Days Of Our Lives meets Electric Boogaloo .",13.0,8.0,3.0,1
223,"Has all the values of a straight-to-video movie , but because it has a bigger-name cast , it gets a full theatrical release .",24.0,,6.0,0
224,The movie is undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .,,1.0,,0
225,Japanese director Shohei Imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,21.0,3.0,,2
226,"-LRB- A -RRB- wonderfully loopy tale of love , longing , and voting .",14.0,1.0,,2
227,"Director-writer Bille August ... depicts this relationship with economical grace , letting his superb actors convey Martin 's deterioration and Barbara 's sadness -- and , occasionally , anger .",30.0,5.0,,1
228,"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",,1.0,6.0,0
229,The drama discloses almost nothing .,6.0,1.0,1.0,0
230,"Even during the climactic hourlong cricket match , boredom never takes hold .",13.0,1.0,,2
231,"The real charm of this trifle is the deadpan comic face of its star , Jean Reno , who resembles Sly Stallone in a hot sake half-sleep .",28.0,5.0,4.0,1
232,With the prospect of films like Kangaroo Jack about to burst across America 's winter movie screens it 's a pleasure to have a film like The Hours as an alternative .,32.0,6.0,3.0,2
233,Puts on airs of a Hal Hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .,21.0,3.0,4.0,0
234,One of the funnier movies in town .,8.0,1.0,1.0,2
235,The locations go from stark desert to gorgeous beaches .,,1.0,,2
236,"And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .",30.0,2.0,5.0,2
237,Offers the flash of rock videos fused with solid performances and eerie atmosphere .,14.0,1.0,1.0,2
238,"Such a fine idea for a film , and such a stultifying , lifeless execution .",16.0,,3.0,0
239,"The story , touching though it is , does not quite have enough emotional resonance or variety of incident to sustain a feature , and even at 85 minutes it feels a bit long .",35.0,1.0,4.0,1
240,the past via surrealist flourishes,5.0,,,2
241,"The pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by Charlie Kaufman and his twin brother , Donald , and directed by Spike Jonze .",43.0,6.0,6.0,2
242,It 's just plain lurid when it is n't downright silly .,12.0,1.0,,0
243,... they missed the boat .,6.0,0.0,,1
244,"Scotland , PA is entirely too straight-faced to transcend its clever concept .",13.0,2.0,3.0,0
245,"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",33.0,3.0,,2
246,"Beautiful , angry and sad , with a curious sick poetry , as if the Marquis de Sade had gone in for pastel landscapes .",25.0,3.0,4.0,2
247,Narc is a no-bull throwback to 1970s action films .,10.0,1.0,,2
248,"But first , you have to give the audience a reason to want to put for that effort",18.0,1.0,1.0,0
249,It has become apparent that the franchise 's best years are long past .,14.0,1.0,2.0,0
250,... hokey art house pretension .,,0.0,4.0,0
251,About the best thing you could say about Narc is that it 's a rock-solid little genre picture .,19.0,,3.0,2
252,"An entertaining British hybrid of comedy , caper thrills and quirky romance .",13.0,2.0,2.0,2
253,"It ends up being neither , and fails at both endeavors .",12.0,1.0,2.0,0
254,"The movie worked for me right up to the final scene , and then it caved in .",18.0,1.0,2.0,1
255,"The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 .",,8.0,6.0,2
256,"Despite Hoffman 's best efforts , Wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .",28.0,3.0,,1
257,It 's a fun adventure movie for kids -LRB- of all ages -RRB- that like adventure .,17.0,1.0,6.0,2
258,"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",32.0,1.0,5.0,2
259,"I approached the usher and said that if she had to sit through it again , she should ask for a raise .",23.0,1.0,2.0,0
260,Watching Austin Powers in Goldmember is like binging on cotton candy .,12.0,4.0,1.0,2
261,"Good performances and a realistic , non-exploitive approach make Paid in Full worth seeing .",15.0,3.0,3.0,2
262,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",38.0,8.0,7.0,2
263,An unflinching look at the world 's dispossessed .,9.0,,2.0,1
264,"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",22.0,,3.0,0
265,Zellweger 's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a,25.0,1.0,2.0,0
266,"Evelyn 's strong cast and surehanded direction make for a winning , heartwarming yarn .",15.0,1.0,3.0,2
267,Summer 's far too fleeting to squander on offal like this .,12.0,1.0,2.0,1
268,It is there to give them a good time .,10.0,,1.0,1
269,"Death to Smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .",16.0,2.0,11.0,0
270,"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",27.0,3.0,5.0,2
271,"Leigh 's daring here is that without once denying the hardscrabble lives of people on the economic fringes of Margaret Thatcher 's ruinous legacy , he insists on the importance of those moments when people can connect and express their love for each other .",,3.0,4.0,1
272,Both a grand tour through 300 hundred years of Russian cultural identity and a stunning technical achievement .,18.0,2.0,1.0,2
273,A compelling film .,4.0,1.0,1.0,2
274,"While not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .",29.0,1.0,3.0,1
275,"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",,2.0,3.0,2
276,"A delightful , if minor , pastry of a movie .",11.0,1.0,3.0,2
277,"The movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story , Minac drains his movie of all individuality .",38.0,3.0,5.0,0
278,"With this new Rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .",21.0,2.0,2.0,1
279,"A big , loud , bang-the-drum bore .",8.0,1.0,5.0,0
280,"A simpler , leaner treatment would have been preferable ; after all , being about nothing is sometimes funnier than being about something .",24.0,1.0,4.0,0
281,"Adrift , Bentley and Hudson stare and sniffle , respectively , as Ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design .",29.0,,7.0,0
282,"I 'm not a fan of the phrase ` life affirming ' because it usually means ` schmaltzy , ' but Real Women Have Curves truly is life affirming .",30.0,5.0,7.0,2
283,"If it 's unnerving suspense you 're after -- you 'll find it with Ring , an indisputably spooky film ; with a screenplay to die for .",28.0,2.0,8.0,2
284,"A bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads as morose as teen pregnancy , rape and suspected murder",30.0,1.0,3.0,0
285,"These characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and I 'm all for that .",32.0,,,2
